drug_id,drug_name,generic_name,brand_names,drug_class,therapeutic_category,active_ingredients,available_strengths,dosage_forms,route_of_administration,indications,contraindications,side_effects,warnings_precautions,pregnancy_category,storage_conditions,shelf_life_months,fda_approved,manufacturer,created_at,updated_at
950e8400-e29b-41d4-a716-446655440001,Lisinopril,Lisinopril,"[""Prinivil"", ""Zestril""]",ACE Inhibitor,Cardiovascular,"[{""ingredient"": ""Lisinopril"", ""strength"": ""varies""}]","[""2.5mg"", ""5mg"", ""10mg"", ""20mg"", ""40mg""]","[""Tablet""]","[""Oral""]",Hypertension and heart failure,Pregnancy; angioedema history,"[{""frequency"": ""common"", ""effects"": [""dry cough"", ""dizziness"", ""headache""]}]",Monitor kidney function and potassium levels,D,Room temperature 20-25°C,36,true,Generic Manufacturer,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440002,Metformin,Metformin,"[""Glucophage"", ""Fortamet""]",Biguanide,Antidiabetic,"[{""ingredient"": ""Metformin HCl"", ""strength"": ""varies""}]","[""500mg"", ""850mg"", ""1000mg""]","[""Tablet"", ""Extended Release""]","[""Oral""]",Type 2 diabetes mellitus,Severe kidney disease; metabolic acidosis,"[{""frequency"": ""common"", ""effects"": [""nausea"", ""diarrhea"", ""metallic taste""]}]",Monitor kidney function; risk of lactic acidosis,B,Room temperature; protect from moisture,36,true,Bristol-Myers Squibb,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440003,Atorvastatin,Atorvastatin,"[""Lipitor""]",HMG-CoA Reductase Inhibitor,Cardiovascular,"[{""ingredient"": ""Atorvastatin Calcium"", ""strength"": ""varies""}]","[""10mg"", ""20mg"", ""40mg"", ""80mg""]","[""Tablet""]","[""Oral""]",High cholesterol and cardiovascular risk reduction,Active liver disease; pregnancy,"[{""frequency"": ""common"", ""effects"": [""muscle pain"", ""headache"", ""nausea""]}]",Monitor liver enzymes; risk of rhabdomyolysis,X,Room temperature; protect from light,24,true,Pfizer,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440004,Albuterol,Albuterol,"[""ProAir"", ""Ventolin"", ""Proventil""]",Beta-2 Agonist,Respiratory,"[{""ingredient"": ""Albuterol Sulfate"", ""strength"": ""varies""}]","[""90mcg/dose"", ""2mg"", ""4mg""]","[""Inhaler"", ""Tablet"", ""Syrup""]","[""Inhalation"", ""Oral""]",Asthma and COPD bronchospasm,Hypersensitivity to albuterol,"[{""frequency"": ""common"", ""effects"": [""tremor"", ""nervousness"", ""headache""]}]",Monitor heart rate; overuse may worsen asthma,C,Room temperature; protect from freezing,24,true,GlaxoSmithKline,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440005,Omeprazole,Omeprazole,"[""Prilosec"", ""Losec""]",Proton Pump Inhibitor,Gastrointestinal,"[{""ingredient"": ""Omeprazole"", ""strength"": ""varies""}]","[""10mg"", ""20mg"", ""40mg""]","[""Capsule"", ""Tablet""]","[""Oral""]",GERD and peptic ulcer disease,Hypersensitivity to proton pump inhibitors,"[{""frequency"": ""common"", ""effects"": [""headache"", ""nausea"", ""diarrhea""]}]",Long-term use may affect B12 absorption,C,Room temperature; protect from moisture,36,true,AstraZeneca,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440006,Sertraline,Sertraline,"[""Zoloft""]",SSRI,Antidepressant,"[{""ingredient"": ""Sertraline HCl"", ""strength"": ""varies""}]","[""25mg"", ""50mg"", ""100mg""]","[""Tablet"", ""Oral Solution""]","[""Oral""]",Depression and anxiety disorders,MAO inhibitor use; pimozide use,"[{""frequency"": ""common"", ""effects"": [""nausea"", ""insomnia"", ""sexual dysfunction""]}]",Suicide risk in young adults; serotonin syndrome risk,C,Room temperature; protect from light,24,true,Pfizer,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440007,Ibuprofen,Ibuprofen,"[""Advil"", ""Motrin""]",NSAID,Analgesic/Anti-inflammatory,"[{""ingredient"": ""Ibuprofen"", ""strength"": ""varies""}]","[""200mg"", ""400mg"", ""600mg"", ""800mg""]","[""Tablet"", ""Capsule"", ""Liquid""]","[""Oral""]",Pain and inflammation,Aspirin allergy; active bleeding; severe heart failure,"[{""frequency"": ""common"", ""effects"": [""stomach upset"", ""dizziness"", ""headache""]}]",GI bleeding risk; cardiovascular risk with long-term use,C,Room temperature; protect from moisture,36,true,Generic Manufacturer,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440008,Amlodipine,Amlodipine,"[""Norvasc""]",Calcium Channel Blocker,Cardiovascular,"[{""ingredient"": ""Amlodipine Besylate"", ""strength"": ""varies""}]","[""2.5mg"", ""5mg"", ""10mg""]","[""Tablet""]","[""Oral""]",Hypertension and angina,Severe aortic stenosis,"[{""frequency"": ""common"", ""effects"": [""ankle swelling"", ""dizziness"", ""flushing""]}]",Monitor blood pressure; may cause peripheral edema,C,Room temperature; protect from light,24,true,Pfizer,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440009,Levothyroxine,Levothyroxine,"[""Synthroid"", ""Levoxyl""]",Thyroid Hormone,Endocrine,"[{""ingredient"": ""Levothyroxine Sodium"", ""strength"": ""varies""}]","[""25mcg"", ""50mcg"", ""75mcg"", ""100mcg"", ""125mcg"", ""150mcg""]","[""Tablet""]","[""Oral""]",Hypothyroidism,Thyrotoxicosis; acute MI with hypothyroidism,"[{""frequency"": ""rare"", ""effects"": [""heart palpitations"", ""insomnia"", ""weight loss""]}]",Monitor TSH levels; take on empty stomach,A,Room temperature; protect from moisture,36,true,AbbVie,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440010,Warfarin,Warfarin,"[""Coumadin"", ""Jantoven""]",Anticoagulant,Cardiovascular,"[{""ingredient"": ""Warfarin Sodium"", ""strength"": ""varies""}]","[""1mg"", ""2mg"", ""2.5mg"", ""3mg"", ""4mg"", ""5mg"", ""6mg"", ""7.5mg"", ""10mg""]","[""Tablet""]","[""Oral""]",Anticoagulation for atrial fibrillation and thrombosis,Pregnancy; active bleeding; severe liver disease,"[{""frequency"": ""serious"", ""effects"": [""bleeding"", ""bruising"", ""hair loss""]}]",Regular INR monitoring required; many drug interactions,X,Room temperature; protect from light,60,true,Bristol-Myers Squibb,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440011,Aspirin,Aspirin,"[""Bayer"", ""Ecotrin""]",NSAID/Antiplatelet,Cardiovascular/Analgesic,"[{""ingredient"": ""Acetylsalicylic Acid"", ""strength"": ""varies""}]","[""81mg"", ""325mg"", ""500mg""]","[""Tablet"", ""Enteric Coated""]","[""Oral""]",Cardiovascular protection and pain relief,Active bleeding; children with viral infections,"[{""frequency"": ""common"", ""effects"": [""stomach irritation"", ""bleeding risk"", ""tinnitus""]}]",GI bleeding risk; Reye's syndrome in children,D,Room temperature; protect from moisture,48,true,Bayer,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440012,Hydrochlorothiazide,Hydrochlorothiazide,"[""Microzide""]",Thiazide Diuretic,Cardiovascular,"[{""ingredient"": ""Hydrochlorothiazide"", ""strength"": ""varies""}]","[""12.5mg"", ""25mg"", ""50mg""]","[""Tablet"", ""Capsule""]","[""Oral""]",Hypertension and edema,Anuria; severe kidney disease,"[{""frequency"": ""common"", ""effects"": [""dizziness"", ""electrolyte imbalance"", ""increased urination""]}]",Monitor electrolytes and kidney function,B,Room temperature; protect from light,60,true,Generic Manufacturer,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440013,Prednisone,Prednisone,"[""Deltasone"", ""Rayos""]",Corticosteroid,Anti-inflammatory,"[{""ingredient"": ""Prednisone"", ""strength"": ""varies""}]","[""1mg"", ""2.5mg"", ""5mg"", ""10mg"", ""20mg"", ""50mg""]","[""Tablet"", ""Oral Solution""]","[""Oral""]",Inflammatory conditions and autoimmune disorders,Systemic fungal infections,"[{""frequency"": ""common"", ""effects"": [""weight gain"", ""mood changes"", ""increased appetite""]}]",Gradual tapering required; suppresses immune system,C,Room temperature; protect from light,36,true,Generic Manufacturer,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440014,Gabapentin,Gabapentin,"[""Neurontin""]",Anticonvulsant,Neurologic,"[{""ingredient"": ""Gabapentin"", ""strength"": ""varies""}]","[""100mg"", ""300mg"", ""400mg"", ""600mg"", ""800mg""]","[""Capsule"", ""Tablet"", ""Oral Solution""]","[""Oral""]",Neuropathic pain and seizures,Hypersensitivity to gabapentin,"[{""frequency"": ""common"", ""effects"": [""dizziness"", ""drowsiness"", ""peripheral edema""]}]",Gradual discontinuation required; may affect driving,C,Room temperature; protect from moisture,36,true,Pfizer,2024-01-01 08:00:00,2024-10-12 08:00:00
950e8400-e29b-41d4-a716-446655440015,Losartan,Losartan,"[""Cozaar""]",ARB,Cardiovascular,"[{""ingredient"": ""Losartan Potassium"", ""strength"": ""varies""}]","[""25mg"", ""50mg"", ""100mg""]","[""Tablet""]","[""Oral""]",Hypertension and diabetic nephropathy,Pregnancy; bilateral renal artery stenosis,"[{""frequency"": ""common"", ""effects"": [""dizziness"", ""fatigue"", ""hyperkalemia""]}]",Monitor kidney function and potassium levels,D,Room temperature; protect from light,24,true,Merck,2024-01-01 08:00:00,2024-10-12 08:00:00
